Country,State,Year,Population,All GHG,CH4,CO2,N2O,F-Gas
US,MN,1999,4873481,213.803096306,34.546866982,63.579675345,37.081444716,0
US,MN,2000,4933692,228.76568822,35.985202733,60.502974671,36.808244202,0
US,MN,2001,4982796,221.309690661,37.335893045,63.044601702,38.824166742,0
US,MN,2002,5018935,229.290928675,38.139549033,67.377649837,37.295498519,0
US,MN,2003,5053572,235.107997942,39.495313633,70.675319757,37.15596776,0
US,MN,2004,5087713,231.662782215,40.966240865,63.238803503,39.93432098,0
US,MN,2005,5119598,234.831322731,41.751640738,65.584550978,36.703146978,0
US,MN,2006,5163555,231.546156103,41.001042297,64.987875839,39.079215773,0
US,MN,2007,5207203,232.878562306,41.528671327,61.071538815,41.245088708,0
US,MN,2008,5247018,230.694965024,42.721834643,57.072376556,41.48443302,0
US,MN,2009,5281203,211.859834186,42.704227483,54.70702035,41.209925068,0
US,MN,2010,5310934,211.224543164,42.587540164,54.661295672,42.952333865,0
US,MN,2011,5346620,213.220449483,41.517789337,57.354036286,41.508418063,0
US,MN,2012,5377500,204.402111601,42.180024904,58.304299895,41.160595853,0
US,MN,2013,5414722,204.425694824,42.70115615,56.246147612,31.62055637,0
US,MN,2014,5452665,211.175097648,33.22412546,57.074718276,32.482087241,0
US,MN,2015,5484002,200.403914023,33.783931322,57.613057678,33.874993116,0
US,MN,2016,5525360,206.380552017,34.028750353,58.156622208,35.553703425,0
US,MN,2017,5569283,204.697597172,36.246781071,51.099702308,32.007718036,0
US,MN,2018,5608762,210.786663765,24.520892584,47.922843043,32.095344023,0
US,MS,1997,2777004,60.157596106,46.287496274,51.191496313,25.607222058,0
US,MS,1998,2804834,61.588563123,46.542637352,52.548010821,24.880710949,0
US,MS,1999,2828408,70.289802724,48.056238241,53.326979691,20.409239698,0
US,MS,2000,2848353,67.753353542,47.931281771,49.929902807,21.16099036,0
US,MS,2001,2852994,84.722247136,51.686047401,50.908098704,21.237115098,0
US,MS,2002,2858681,70.56730876,47.776946066,48.105760613,23.179523992,0
US,MS,2003,2868312,73.532689553,48.138340867,51.590830158,23.886396072,0
US,MS,2004,2889010,76.914168877,46.92884885,48.468361128,23.925865228,0
US,MS,2005,2905943,72.893497806,48.513224014,48.659326552,24.409688125,0
US,MS,2006,2904978,75.78357588,49.141457586,48.157498326,23.318597431,0
US,MS,2007,2928350,81.786379757,50.582267785,49.825959408,23.764736347,0
US,MS,2008,2947806,74.970892611,51.102370178,60.048419398,22.055603708,0
US,MS,2009,2958774,65.602099716,49.439244993,63.315764484,21.898192297,0
US,MS,2010,2970615,76.74126296,49.055780655,173.434543088,25.032202492,0
US,MS,2011,2979147,65.255445237,50.255340212,177.072340274,24.626979541,0
